ValdezD_18R_Governor,WhiteD_18R_Governor,X18R_Governor_abstain,BCVAP_2018,HCVAP_2018,WCVAP_2018,OCVAP_2018,X18R_Governor_CVAP
89,69,1246,27,584,741,52,0
78,133,1470,27,651,915,88,0
28,36,1418,38,713,674,57,0
54,35,1110,7,637,535,20,0
61,39,1719,5,1602,212,0,0
107,63,3390,270,2605,665,20,0
103,35,3497,75,3350,210,0,0
63,13,2422,5,2394,89,10,0
57,11,3093,352,2676,129,4,0
43,17,2723,8,2745,30,0,0
159,96,1930,15,1398,757,15,0
160,93,2052,5,1913,374,13,0
87,65,1413,120,1020,370,55,0
35,13,1880,4,1615,309,0,0
101,48,3606,170,3295,200,90,0
82,41,2326,82,1777,589,1,0
19,5,1234,80,864,280,34,0
20,11,1226,0,1189,66,2,0
26,17,1613,20,1356,201,79,0
124,96,2219,125,1465,835,14,0
41,78,2627,120,824,1567,235,0
47,28,1633,9,1396,267,36,0
61,26,2580,170,2252,224,21,0
40,28,2445,70,2148,286,9,0
77,34,3123,59,2655,485,35,0
56,36,1628,60,1240,405,15,0
21,12,1232,155,603,434,73,0
32,24,1244,0,935,345,20,0
14,14,543,29,210,316,16,0
17,18,727,4,308,394,56,0
1,1,23,0,10,13,2,0
77,40,2535,30,1781,781,60,0
37,18,5620,335,3393,1587,360,0
63,57,3984,314,2010,1701,79,0
20,8,233,5,223,33,0,0
85,82,4277,223,2318,1793,110,0
50,24,3948,322,2755,860,85,0
112,25,2562,3,2606,90,0,0
27,2,1210,28,1175,36,0,0
59,31,3751,258,2254,1148,181,0
33,13,1320,0,994,322,50,0
18,2,1303,0,1301,22,0,0
36,15,1268,87,1186,46,0,0
40,36,2484,180,1160,1155,65,0
56,41,2759,290,1656,895,15,0
45,16,3418,123,2579,722,55,0
16,2,859,67,781,29,0,0
29,15,1460,119,1025,360,0,0
30,10,877,40,557,310,10,0
39,20,2054,118,1578,372,45,0
47,28,790,15,655,180,15,0
76,99,3975,45,2110,1800,195,0
46,27,1407,75,1195,195,15,0
69,61,3679,53,1957,1448,351,0
45,37,2203,41,1322,876,46,0
98,38,4333,292,2538,1342,297,0
11,7,506,0,506,18,0,0
33,12,2341,283,1135,656,312,0
54,28,4361,765,2020,1291,367,0
10,5,751,78,497,145,46,0
3,6,1206,104,738,287,86,0
3,12,142,10,56,77,14,0
28,21,1794,32,671,1053,87,0
6,5,639,17,217,398,18,0
25,26,3552,232,1613,1563,195,0
46,31,3088,105,1995,959,106,0
27,3,2878,144,2415,345,4,0
26,36,2083,65,825,1180,75,0
27,19,1399,3,983,458,1,0
11,8,1325,48,735,518,43,0
51,37,2752,127,1560,959,194,0
6,0,285,0,285,6,0,0
12,2,418,5,340,81,6,0
22,5,630,31,613,13,0,0
